customer_id,qtt_order,total_spent,last_order
98,7,492742.26,2022-01-13 00:00:00
99,32,132031.71,2022-07-24 20:00:00
100,38,47500.97,2022-09-21 14:00:00
101,7,44440.05,2022-04-14 13:00:00
102,8,217551.22,2022-08-27 09:00:00
103,56,208819.67,2022-09-11 08:00:00
104,74,57449.08,2022-02-15 00:00:00
105,73,8847.96,2022-04-17 15:00:00
106,4,40731.1,2022-10-01 22:00:00
107,19,45087.99,2022-02-27 10:00:00
108,460,17746.35,2022-02-13 06:00:00
109,138,74758.38,2022-08-20 15:00:00
110,6,37978.66,2022-03-10 18:00:00
111,18,10228.75,2022-03-31 06:00:00
112,113,47779.51,2022-05-13 10:00:00
113,15,254380.99,2022-01-04 12:00:00
114,66,111575.28,2022-10-26 19:00:00
115,7,110345.67,2022-09-17 10:00:00
116,188,126574.88,2022-04-26 16:00:00
117,47,199452.26,2022-02-11 06:00:00
118,103,170536.45,2022-05-16 14:00:00
119,46,191020.92,2022-03-14 07:00:00
120,15,57875.61,2022-09-06 12:00:00
121,181,9889.69,2022-11-01 06:00:00
122,82,253399.34,2022-09-06 12:00:00
123,17,38995.71,2022-04-05 14:00:00
124,55,45671.59,2022-10-14 07:00:00
125,68,65346.35,2022-08-03 04:00:00
126,43,351285.84,2022-09-07 14:00:00
127,8,284546.28,2022-10-01 05:00:00
128,5,6297.34,2022-04-10 00:00:00
129,33,181572.76,2022-06-17 09:00:00
130,211,203503.16,2022-04-25 20:00:00
131,136,474495.95,2022-03-11 04:00:00
132,14,28760.2,2022-09-05 06:00:00
133,5,114111.0,2022-04-09 14:00:00
134,16,401178.15,2022-09-16 10:00:00
135,37,76256.0,2022-08-03 20:00:00
136,61,613783.58,2022-05-15 07:00:00
137,15,75639.7,2022-11-22 23:00:00
138,40,53031.33,2022-08-15 18:00:00
139,243,1471204.25,2022-08-27 09:00:00
140,90,487737.94,2022-06-23 07:00:00
141,145,395767.25,2022-08-02 13:00:00
142,162,135389.95,2022-05-06 06:00:00
143,64,207854.4,2022-02-27 12:00:00
144,10,326017.55,2022-05-22 17:00:00
145,13,140879.6,2022-05-29 17:00:00
146,93,814487.56,2022-08-04 01:00:00
147,15,29629.96,2022-02-13 02:00:00
148,334,124726.65,2022-03-10 16:00:00
149,8,47623.7,2022-10-13 09:00:00
150,44,213671.4,2022-02-24 20:00:00
151,464,345185.93,2022-09-24 17:00:00
152,662,5041.15,2022-09-16 18:00:00
153,48,62452.92,2022-06-04 05:00:00
154,12,742431.05,2022-09-09 07:00:00
155,26,360802.08,2022-04-23 20:00:00
156,36,63347.17,2022-02-08 16:00:00
157,55,589623.63,2022-06-14 00:00:00
158,48,583416.18,2022-09-13 13:00:00
159,97,15304.04,2022-06-12 14:00:00
160,12,228049.13,2022-06-15 19:00:00
161,33,34873.59,2022-01-17 05:00:00
162,166,108469.61,2022-10-23 00:00:00
163,8,2081.56,2022-09-21 22:00:00
164,17,48165.35,2022-01-06 01:00:00
165,74,159700.86,2023-01-03 15:00:00
166,121,69568.55,2022-04-22 00:00:00
167,112,226248.31,2022-04-16 11:00:00
168,60,164101.98,2022-08-20 11:00:00
169,28,802796.73,2022-04-29 07:00:00
170,8,302907.89,2022-01-07 18:00:00
171,5,28769.94,2022-01-14 06:00:00
172,6,38328.51,2022-05-30 16:00:00
173,280,789550.37,2022-05-24 14:00:00
174,379,62717.25,2022-10-05 07:00:00
175,90,59809.04,2022-01-03 17:00:00
176,82,67012.34,2022-04-27 02:00:00
177,21,31228.96,2021-12-31 10:00:00
178,19,2994.4,2022-04-12 15:00:00
179,8,149194.9,2022-09-12 08:00:00
180,123,563179.54,2022-09-17 17:00:00
181,33,33607.6,2022-03-21 14:00:00
182,6,42686.49,2022-07-11 11:00:00
183,31,111909.56,2022-08-19 00:00:00
184,29,96901.53,2022-03-28 14:00:00
185,21,158042.7,2022-07-14 10:00:00
186,93,641653.56,2022-05-20 17:00:00
187,121,231835.01,2022-05-17 17:00:00
188,56,114951.23,2022-10-13 14:00:00
189,72,94911.93,2022-03-29 08:00:00
190,8,463734.92,2022-03-08 01:00:00
191,56,49211.28,2022-03-20 14:00:00
192,105,298497.17,2022-03-27 01:00:00
193,95,206471.13,2022-07-21 04:00:00
194,153,91735.31,2022-05-27 06:00:00
195,18,8180.55,2022-02-11 19:00:00
196,112,352047.98,2022-02-05 20:00:00
197,29,211083.73,2022-05-17 23:00:00
198,67,188290.21,2022-04-28 18:00:00
199,17,185250.8,2022-03-03 04:00:00
200,702,170779.81,2022-02-23 14:00:00
201,671,493892.36,2022-05-15 02:00:00
202,173,1167766.61,2022-03-01 16:00:00
203,33,92095.0,2022-10-09 13:00:00
204,159,315675.33,2022-11-25 23:00:00
205,65,158549.94,2022-08-22 11:00:00
206,14,76914.16,2022-11-11 14:00:00
207,65,228050.7,2022-07-09 01:00:00
208,61,159370.71,2022-09-08 19:00:00
209,16,461076.6,2022-10-20 23:00:00
210,26,369815.21,2022-09-05 06:00:00
211,18,151987.06,2022-05-16 09:00:00
212,54,28214.74,2021-12-18 19:00:00
213,5,45290.61,2022-03-24 20:00:00
214,47,14332.46,2022-05-23 18:00:00
215,54,25213.5,2022-10-11 01:00:00
216,23,481822.55,2022-01-09 11:00:00
217,8,1024801.65,2022-02-22 19:00:00
218,69,614968.45,2022-10-17 19:00:00
219,73,90369.17,2022-04-29 11:00:00
220,547,353878.08,2022-10-08 14:00:00
221,27,239248.09,2022-03-23 13:00:00
222,44,267640.3,2022-10-12 08:00:00
223,23,59866.48,2022-11-03 11:00:00
224,103,101870.05,2022-02-15 07:00:00
225,47,279042.34,2022-04-13 09:00:00
226,154,444756.85,2022-02-24 15:00:00
227,421,400050.49,2022-01-30 10:00:00
228,50,412945.59,2022-01-14 11:00:00
229,25,130996.37,2022-11-19 21:00:00
230,74,111645.54,2022-06-07 15:00:00
231,9,86706.7,2022-04-11 13:00:00
232,199,86252.34,2022-01-13 03:00:00
233,4,125458.92,2022-04-13 04:00:00
234,249,40741.54,2022-06-17 16:00:00
235,12,34016.83,2022-02-17 12:00:00
236,52,71716.77,2022-07-15 03:00:00
237,84,13701.11,2022-01-19 04:00:00
238,22,32481.97,2022-05-25 02:00:00
239,40,286581.17,2022-01-26 22:00:00
240,72,149081.97,2022-11-24 00:00:00
241,23,11689.83,2022-08-27 14:00:00
242,84,139854.21,2022-06-21 17:00:00
243,62,182486.91,2022-06-24 02:00:00
244,88,263933.66,2022-03-15 07:00:00
245,27,160588.22,2022-02-18 05:00:00
246,49,349393.1,2022-10-17 04:00:00
247,286,30982.96,2022-09-19 05:00:00
248,633,119678.16,2022-10-02 15:00:00
249,42,783583.79,2022-10-19 06:00:00
250,96,218040.48,2022-08-10 02:00:00
251,14,5149.89,2022-01-23 16:00:00
252,124,234330.25,2022-03-24 12:00:00
253,110,302434.02,2022-07-22 05:00:00
254,214,559791.6,2022-10-12 04:00:00
255,291,256524.43,2022-05-08 03:00:00
256,79,662559.73,2022-02-23 17:00:00
257,38,6468.84,2022-06-14 04:00:00
258,114,805059.54,2022-04-10 11:00:00
259,26,22202.65,2021-12-31 07:00:00
260,36,240303.91,2022-08-28 14:00:00
261,30,98359.32,2022-08-02 03:00:00
262,32,41165.21,2022-03-13 21:00:00
263,36,97178.17,2022-07-31 14:00:00
264,46,136376.69,2022-03-24 02:00:00
265,333,542801.1,2022-12-02 00:00:00
266,9,28850.04,2022-05-05 15:00:00
267,56,66563.6,2022-01-24 18:00:00
268,22,99488.95,2022-03-23 23:00:00
269,102,521442.61,2022-03-12 16:00:00
270,57,337663.21,2022-03-29 09:00:00
271,383,274574.56,2022-04-01 03:00:00
272,12,465129.08,2022-07-07 02:00:00
273,75,108342.3,2022-10-27 16:00:00
274,127,36326.4,2022-05-02 09:00:00
275,116,62336.72,2022-06-22 17:00:00
276,6,85262.55,2022-03-27 07:00:00
277,21,164258.47,2022-06-19 01:00:00
278,48,254497.59,2022-01-15 11:00:00
279,269,827768.46,2022-10-31 06:00:00
280,43,86096.6,2022-03-16 09:00:00
281,170,171667.31,2022-08-05 12:00:00
282,7,14677.96,2021-11-26 15:00:00
283,135,255084.7,2022-09-19 05:00:00
284,22,915153.71,2022-08-30 14:00:00
285,256,368501.74,2022-10-03 05:00:00
286,15,388894.3,2022-09-06 14:00:00
287,9,76872.89,2022-02-10 22:00:00
288,131,46964.06,2022-09-03 10:00:00
289,46,162013.97,2022-06-11 06:00:00
290,13,425614.37,2022-01-23 14:00:00
291,11,110589.23,2022-06-30 08:00:00
292,4,70728.77,2022-02-25 03:00:00
293,98,57564.67,2022-03-13 21:00:00
294,26,49462.5,2022-04-06 13:00:00
295,15,120104.04,2022-08-12 05:00:00
296,511,117210.24,2022-08-10 13:00:00
297,79,4438.82,2022-01-15 20:00:00
298,35,87261.44,2022-06-27 06:00:00
299,284,625606.01,2022-11-19 00:00:00
300,13,29956.0,2022-02-23 12:00:00
301,2,52787.15,2022-02-14 13:00:00
302,6,38667.17,2022-04-03 14:00:00
303,183,702507.28,2022-06-26 20:00:00
304,20,77545.66,2022-03-06 13:00:00
305,96,105022.52,2022-06-15 06:00:00
306,13,6528.57,2022-03-08 14:00:00
307,65,244839.13,2022-05-04 23:00:00
308,62,53493.5,2022-07-13 20:00:00
309,350,112186.52,2022-08-10 03:00:00
310,48,118205.05,2022-05-01 02:00:00
311,174,146117.41,2022-02-16 08:00:00
312,113,454521.38,2022-04-12 06:00:00
313,44,32085.99,2022-07-18 08:00:00
314,28,115614.18,2022-03-07 09:00:00
315,5,115567.31,2022-03-11 07:00:00
316,10,161187.97,2022-04-04 14:00:00
317,49,416905.72,2022-01-23 01:00:00
318,93,82922.86,2022-04-19 07:00:00
319,76,251075.52,2022-04-11 05:00:00
320,50,71189.91,2022-01-13 04:00:00
321,497,932713.92,2022-06-05 01:00:00
322,50,211453.02,2022-11-15 11:00:00
323,10,104321.45,2022-02-22 06:00:00
324,9,11186.64,2022-05-21 13:00:00
325,22,331792.35,2022-02-16 21:00:00
326,6,105611.93,2022-09-28 05:00:00
327,10,81769.96,2022-08-29 18:00:00
328,76,506567.96,2022-04-22 05:00:00
329,59,151175.71,2022-06-10 23:00:00
330,613,141438.54,2022-07-31 12:00:00
331,58,317546.2,2022-08-15 13:00:00
332,35,100263.1,2022-02-08 14:00:00
333,28,243030.81,2022-02-04 00:00:00
334,38,142832.75,2022-06-25 18:00:00
335,52,110784.14,2022-02-18 21:00:00
336,310,267247.16,2022-02-22 09:00:00
337,35,195712.94,2022-01-29 22:00:00
338,14,145592.26,2022-02-15 23:00:00
339,15,152579.85,2022-10-07 02:00:00
340,71,264555.17,2022-03-24 12:00:00
341,61,67921.5,2022-08-02 02:00:00
342,93,176125.41,2022-09-30 21:00:00
343,152,263092.88,2022-08-04 03:00:00
344,53,157744.01,2022-06-15 13:00:00
345,68,190394.51,2022-10-06 13:00:00
346,131,58129.18,2022-06-09 06:00:00
347,42,27779.84,2022-08-19 00:00:00
348,22,122897.54,2022-09-04 23:00:00
349,5,54278.15,2022-11-04 23:00:00
350,33,32559.16,2022-09-20 00:00:00
351,59,215665.09,2022-09-29 17:00:00
352,64,39946.46,2022-10-12 14:00:00
353,8,343394.34,2022-08-04 23:00:00
354,367,186603.12,2022-09-23 17:00:00
355,58,46349.46,2022-07-14 11:00:00
356,40,193852.18,2022-07-03 04:00:00
357,10,266113.4,2022-10-02 07:00:00
358,162,362105.6,2022-03-24 15:00:00
359,154,21754.76,2022-02-24 12:00:00
360,116,1199377.23,2022-06-26 15:00:00
361,19,30949.88,2022-03-24 20:00:00
362,102,98497.63,2022-10-13 09:00:00
363,118,3599.82,2022-01-25 09:00:00
364,173,1011840.11,2022-09-29 15:00:00
365,854,51247.05,2022-09-12 20:00:00
366,46,102320.0,2022-03-01 12:00:00
367,6,37311.09,2022-04-06 06:00:00
368,13,96656.11,2022-10-02 11:00:00
369,120,282091.37,2022-03-24 19:00:00
370,305,123483.45,2022-08-10 07:00:00
371,33,238923.2,2022-09-17 14:00:00
372,57,253659.83,2022-09-06 10:00:00
373,16,116255.65,2022-07-08 19:00:00
374,42,59294.71,2022-03-26 04:00:00
375,44,553835.94,2022-08-15 23:00:00
376,19,337491.02,2022-04-15 06:00:00
377,223,383294.69,2022-08-27 01:00:00
378,77,112682.37,2022-04-05 06:00:00
379,3,5647.72,2022-07-13 13:00:00
380,1274,856986.7,2022-09-02 11:00:00
381,99,68701.13,2022-01-05 21:00:00
382,30,886265.29,2022-06-08 11:00:00
383,118,231635.37,2022-10-10 00:00:00
384,15,132421.97,2022-04-10 17:00:00
385,29,202720.03,2022-07-16 10:00:00
386,218,130641.03,2022-07-15 23:00:00
387,172,37530.93,2022-04-29 18:00:00
388,39,45263.09,2022-09-11 04:00:00
389,34,80303.55,2022-05-07 09:00:00
390,78,61581.09,2022-11-29 03:00:00
391,6,11062.97,2022-09-27 08:00:00
392,41,534546.11,2022-04-18 23:00:00
393,85,128708.33,2022-08-20 08:00:00
394,6,370640.24,2022-04-23 22:00:00
395,91,345766.28,2022-10-01 16:00:00
396,204,329516.03,2022-04-08 22:00:00
397,30,167393.09,2022-06-14 23:00:00
398,266,90533.71,2022-06-10 19:00:00
399,45,99915.63,2022-03-28 12:00:00
400,67,18123.19,2022-08-21 00:00:00
401,1,152536.91,2022-07-19 03:00:00
402,75,144000.37,2022-05-30 06:00:00
403,43,467223.62,2022-03-10 11:00:00
404,26,27215.36,2021-12-20 17:00:00
405,63,73394.82,2022-10-11 15:00:00
406,62,248895.94,2022-04-25 01:00:00
407,187,68063.87,2022-10-28 20:00:00
408,232,100077.13,2022-08-12 17:00:00
409,186,94021.89,2022-02-15 16:00:00
410,43,39707.02,2022-03-22 08:00:00
411,118,214665.14,2022-09-23 12:00:00
412,48,96919.47,2022-06-28 06:00:00
413,41,26247.46,2022-05-12 01:00:00
414,47,463759.16,2022-03-23 06:00:00
415,128,829615.11,2022-04-05 11:00:00
416,42,52852.66,2022-10-03 20:00:00
417,206,383942.45,2022-07-09 01:00:00
418,193,156669.85,2022-07-12 23:00:00
419,7,253562.3,2022-06-16 07:00:00
420,268,179793.63,2022-05-08 06:00:00
421,24,105531.93,2022-03-03 09:00:00
422,16,361692.48,2022-04-28 20:00:00
423,40,254712.37,2022-06-28 02:00:00
424,92,151684.67,2022-08-11 22:00:00
425,21,214646.4,2022-08-29 22:00:00
426,84,219149.76,2022-08-29 10:00:00
427,22,9096.87,2022-03-02 00:00:00
428,32,588833.94,2022-02-10 11:00:00
429,29,44329.87,2022-03-23 19:00:00
430,69,209728.45,2022-07-06 04:00:00
431,188,461672.99,2022-08-29 11:00:00
432,66,64409.08,2022-07-27 14:00:00
433,6,140853.26,2022-01-28 00:00:00
434,17,143019.32,2022-11-17 09:00:00
435,38,83289.77,2022-08-16 22:00:00
436,58,67496.26,2022-02-16 18:00:00
437,108,44732.48,2022-06-01 13:00:00
438,130,86842.25,2022-09-03 21:00:00
439,84,461651.72,2022-04-19 10:00:00
440,191,233497.35,2022-10-16 04:00:00
441,80,116436.4,2022-04-15 20:00:00
442,102,75681.97,2022-09-26 23:00:00
443,37,207302.58,2022-12-06 14:00:00
444,14,8450.08,2021-12-31 17:00:00
445,57,52413.88,2022-06-15 04:00:00
446,169,122605.77,2022-10-24 07:00:00
447,590,328484.3,2022-04-28 14:00:00
448,60,246560.47,2022-04-19 09:00:00
449,6,6588.14,2022-08-05 18:00:00
450,30,409777.59,2022-10-04 04:00:00
451,67,183119.4,2022-06-21 07:00:00
452,20,64938.8,2022-07-24 21:00:00
453,49,413400.49,2022-02-14 07:00:00
454,29,1031988.08,2022-09-12 01:00:00
455,241,99181.73,2022-08-21 20:00:00
456,49,52774.27,2022-02-01 00:00:00
457,8,17542.2,2022-09-04 09:00:00
458,28,333118.58,2022-06-09 21:00:00
459,750,543106.29,2022-09-08 16:00:00
460,12,150544.49,2022-09-17 16:00:00
461,44,751353.78,2022-11-10 17:00:00
462,4,179052.14,2022-11-08 03:00:00
463,18,3888.33,2022-01-20 03:00:00
464,45,593644.68,2022-09-10 04:00:00
465,28,140859.17,2022-12-08 21:00:00
466,34,23469.23,2022-03-14 05:00:00
467,41,160903.75,2022-09-04 05:00:00
468,18,35390.97,2022-01-11 17:00:00
469,62,249868.92,2022-09-18 01:00:00
470,92,100123.54,2022-06-26 14:00:00
471,41,6179.59,2022-02-13 08:00:00
472,15,337259.77,2022-05-01 07:00:00
473,383,364484.7,2022-07-22 13:00:00
474,25,257533.57,2022-02-24 23:00:00
475,815,1730120.54,2022-09-05 10:00:00
476,252,51082.06,2022-07-24 04:00:00
477,317,24914.72,2022-09-19 09:00:00
478,95,367268.41,2022-08-29 19:00:00
479,46,256604.9,2022-04-29 05:00:00
480,122,125347.63,2022-04-15 04:00:00
481,69,290895.98,2022-11-15 02:00:00
482,43,198978.84,2022-10-31 12:00:00
483,30,33182.56,2022-08-16 12:00:00
484,22,91914.63,2021-12-25 12:00:00
485,26,285620.26,2022-11-04 14:00:00
486,3,12077.96,2022-08-26 18:00:00
487,48,606905.7,2022-07-13 13:00:00
488,9,80037.72,2022-05-28 06:00:00
489,214,266801.43,2022-02-27 13:00:00
490,426,1422362.77,2022-10-23 00:00:00
491,38,93836.31,2022-08-07 04:00:00
492,122,53708.61,2022-08-18 17:00:00
493,177,65689.71,2022-03-13 13:00:00
494,8,133732.71,2022-05-22 10:00:00
495,81,294478.54,2022-08-09 08:00:00
496,5,36306.98,2022-09-22 21:00:00
497,36,87038.95,2022-03-02 20:00:00
498,64,561633.53,2022-02-08 19:00:00
499,21,156707.39,2022-05-01 21:00:00
500,34,154500.18,2022-06-28 01:00:00
501,6,118097.71,2021-12-29 10:00:00
502,624,130146.75,2022-05-13 11:00:00
503,82,89860.34,2022-09-29 19:00:00
504,19,127656.07,2022-10-07 02:00:00
505,176,114949.69,2022-09-30 16:00:00
506,36,936533.11,2022-10-24 21:00:00
507,32,457530.69,2022-10-03 10:00:00
508,31,147314.44,2022-03-25 11:00:00
509,72,266446.74,2022-09-29 09:00:00
510,116,48714.66,2022-10-28 11:00:00
511,83,26267.25,2022-01-13 02:00:00
512,12,6898.12,2022-08-06 01:00:00
513,73,422743.62,2022-04-08 14:00:00
514,346,89332.79,2022-07-23 07:00:00
515,15,7470.97,2022-08-31 15:00:00
516,11,159997.46,2022-04-06 10:00:00
517,87,84907.13,2022-02-04 09:00:00
518,35,97707.9,2022-09-10 22:00:00
519,347,465763.03,2022-07-09 02:00:00
520,128,163433.79,2022-09-21 04:00:00
521,15,116285.66,2022-09-28 00:00:00
522,29,111032.22,2022-01-30 16:00:00
523,28,69157.38,2022-02-07 14:00:00
524,208,183802.69,2022-07-07 11:00:00
525,33,74728.54,2022-08-10 14:00:00
526,235,71109.33,2022-05-07 09:00:00
527,59,273947.73,2022-10-29 21:00:00
528,7,61680.19,2022-05-16 05:00:00
529,36,408766.42,2022-10-09 02:00:00
530,66,151997.05,2022-10-04 22:00:00
531,25,9091.61,2022-08-10 21:00:00
532,194,953088.41,2022-09-19 08:00:00
533,29,750415.75,2022-04-27 05:00:00
534,4,19113.66,2022-02-28 06:00:00
535,97,986401.66,2022-08-25 11:00:00
536,142,676247.25,2022-07-15 04:00:00
537,15,89553.94,2022-11-13 08:00:00
538,163,15524.2,2022-06-07 23:00:00
539,3,38645.97,2022-07-18 17:00:00
540,128,178021.1,2022-10-07 12:00:00
541,68,337961.49,2022-10-02 08:00:00
542,105,257412.53,2022-02-25 14:00:00
543,22,159818.89,2022-06-26 15:00:00
544,63,15989.14,2022-04-21 13:00:00
545,13,118285.36,2022-10-03 06:00:00
546,55,430077.38,2022-04-01 02:00:00
547,30,160470.53,2022-02-20 19:00:00
548,44,139733.35,2022-03-28 12:00:00
549,15,45479.19,2022-01-25 10:00:00
550,197,205692.68,2022-02-11 16:00:00
551,7,125971.25,2022-09-07 15:00:00
552,6,16835.78,2022-06-26 06:00:00
553,119,738845.11,2022-06-15 02:00:00
554,39,45301.77,2022-09-10 19:00:00
555,73,34593.24,2022-03-26 23:00:00
556,4,51767.94,2022-04-02 03:00:00
557,40,159485.58,2022-12-24 17:00:00
558,15,145738.3,2022-02-08 00:00:00
559,88,92085.57,2022-09-26 06:00:00
560,238,1187947.33,2022-05-30 00:00:00
561,39,127633.07,2022-04-23 18:00:00
562,92,878408.83,2022-10-24 10:00:00
563,33,74020.33,2022-04-03 08:00:00
564,35,184997.59,2022-09-10 06:00:00
565,82,1163966.75,2022-04-05 11:00:00
566,170,162048.04,2022-09-01 06:00:00
567,62,21992.42,2022-05-31 04:00:00
568,117,53891.37,2022-09-09 15:00:00
569,56,2793.01,2022-10-10 00:00:00
570,49,1195922.59,2022-05-06 17:00:00
571,19,159172.38,2022-10-02 07:00:00
572,44,35928.08,2022-03-13 07:00:00
573,215,363336.93,2022-10-29 16:00:00
574,41,53486.74,2022-05-08 08:00:00
575,82,36982.15,2022-05-04 14:00:00
576,81,224991.51,2022-05-11 17:00:00
577,68,119128.0,2022-09-18 23:00:00
578,69,206200.55,2022-07-21 23:00:00
579,8,20667.79,2022-03-28 20:00:00
580,78,3891.43,2022-03-18 20:00:00
581,43,540271.3,2022-07-09 06:00:00
582,102,175221.08,2022-04-02 07:00:00
583,71,220887.47,2022-08-17 11:00:00
584,41,53111.72,2022-08-10 10:00:00
585,58,197994.03,2022-05-08 23:00:00
586,9,23489.21,2022-04-23 00:00:00
587,30,10780.93,2022-01-19 19:00:00
588,205,85614.76,2022-08-31 10:00:00
589,28,61219.09,2022-07-13 13:00:00
590,19,68706.49,2022-05-27 17:00:00
591,18,108233.83,2022-09-28 19:00:00
592,318,86646.6,2022-06-04 05:00:00
593,63,628652.22,2022-06-11 08:00:00
594,66,203042.85,2022-04-15 23:00:00
595,37,131735.53,2022-02-16 10:00:00
596,59,87421.25,2022-05-18 06:00:00
597,62,85036.42,2022-01-31 06:00:00
598,161,115157.35,2022-04-16 01:00:00
599,23,48283.7,2022-06-14 16:00:00
600,418,33325.47,2022-10-09 02:00:00
601,12,246674.39,2022-07-23 17:00:00
602,63,267503.71,2022-01-30 15:00:00
603,231,85695.75,2022-10-24 16:00:00
604,5,178549.45,2022-08-07 04:00:00
605,464,185017.14,2022-05-20 18:00:00
606,31,34601.16,2022-02-05 15:00:00
607,44,252080.14,2022-04-19 01:00:00
608,302,106743.37,2022-10-30 23:00:00
609,78,58313.21,2022-07-13 10:00:00
610,166,115876.85,2022-02-15 02:00:00
611,131,136563.6,2022-02-23 15:00:00
612,328,125531.74,2022-06-14 18:00:00
613,396,371731.64,2022-06-05 06:00:00
614,87,70333.93,2022-08-30 20:00:00
615,13,76714.15,2022-01-29 04:00:00
616,32,27231.77,2022-08-08 20:00:00
617,17,671200.99,2022-06-24 18:00:00
618,11,258184.07,2022-10-31 04:00:00
619,1005,1284096.16,2022-10-21 20:00:00
620,42,135230.69,2022-04-11 13:00:00
621,109,794135.05,2022-10-03 20:00:00
622,10,171094.8,2022-10-27 04:00:00
623,42,208330.17,2022-02-19 01:00:00
624,286,186521.86,2022-02-15 03:00:00
625,93,198414.12,2021-12-18 03:00:00
626,19,26082.74,2022-02-17 14:00:00
627,42,50941.62,2022-01-27 14:00:00
628,96,206660.89,2022-10-03 01:00:00
629,379,835227.35,2022-07-23 03:00:00
630,112,168760.88,2022-06-08 13:00:00
631,9,18963.68,2022-03-20 17:00:00
632,16,49849.41,2022-05-11 03:00:00
